race,driver,podium_finish_odds
Singapore,Valtteri Bottas,151
Singapore,Yuki Tsunoda,151
Singapore,Zhou Guanyu,151
Singapore,Kevin Magnussen,301
Singapore,Nico Hulkenberg,301
Japan,Max Verstappen,1.1
Japan,Sergio Perez,1.6
Japan,Lando Norris,2.35
Japan,Lewis Hamilton,2.75
Japan,George Russell,3.5
Japan,Carlos Sainz,3.75
Japan,Charles Leclerc,3.75
Japan,Oscar Piastri,4.5
Japan,Fernando Alonso,7
Japan,Esteban Ocon,67
Japan,Lance Stroll,67
Japan,Pierre Gasly,67
Japan,Alex Albon,101
Japan,Liam Lawson,151
Japan,Yuki Tsunoda,151
Japan,Logan Sargeant,201
Japan,Valtteri Bottas,201
Japan,Kevin Magnussen,251
Japan,Nico Hulkenberg,251
Japan,Zhou Guanyu,251
Qatar,Max Verstappen,1.1
Qatar,Lando Norris,1.6
Qatar,Sergio Perez,1.75
Qatar,Oscar Piastri,2.5
Qatar,Lewis Hamilton,3.8
Qatar,Carlos Sainz,5.5
Qatar,Charles Leclerc,5.5
Qatar,George Russell,6
Qatar,Fernando Alonso,10
Qatar,Alex Albon,67
Qatar,Esteban Ocon,67
Qatar,Lance Stroll,67
Qatar,Pierre Gasly,67
Qatar,Kevin Magnussen,151
Qatar,Liam Lawson,151
Qatar,Valtteri Bottas,151
Qatar,Yuki Tsunoda,151
Qatar,Zhou Guanyu,151
Qatar,Logan Sargeant,301
Qatar,Nico Hulkenberg,301
United States,Max Verstappen,1.1
United States,Lando Norris,1.6
United States,Oscar Piastri,1.8
United States,Sergio Perez,2.5
United States,Lewis Hamilton,3
United States,George Russell,3.5
United States,Carlos Sainz,6
United States,Charles Leclerc,6
United States,Fernando Alonso,11
United States,Esteban Ocon,51
United States,Pierre Gasly,51
United States,Alex Albon,151
United States,Lance Stroll,151
United States,Daniel Ricciardo,301
United States,Valtteri Bottas,301
United States,Yuki Tsunoda,301
United States,Zhou Guanyu,301
United States,Kevin Magnussen,601
United States,Logan Sargeant,601
United States,Nico Hulkenberg,601
Mexico,Max Verstappen,1.1
Mexico,Lando Norris,1.6
Mexico,Sergio Perez,1.75
Mexico,Oscar Piastri,2.5
Mexico,Lewis Hamilton,3.8
Mexico,Carlos Sainz,5.5
Mexico,Charles Leclerc,5.5
Mexico,George Russell,6
Mexico,Fernando Alonso,10
Mexico,Alex Albon,67
Mexico,Esteban Ocon,67
Mexico,Lance Stroll,67
Mexico,Pierre Gasly,67
Mexico,Kevin Magnussen,151
Mexico,Liam Lawson,151
Mexico,Valtteri Bottas,151
Mexico,Yuki Tsunoda,151
Mexico,Zhou Guanyu,151
Mexico,Logan Sargeant,301
Mexico,Nico Hulkenberg,301
Brazil,Max Verstappen,1.1
Brazil,Lewis Hamilton,1.55
Brazil,Lando Norris,1.7
Brazil,Sergio Perez,2.6
Brazil,George Russell,3
Brazil,Charles Leclerc,4.5
Brazil,Carlos Sainz,5
Brazil,Oscar Piastri,5
Brazil,Fernando Alonso,17
Brazil,Esteban Ocon,101
Brazil,Pierre Gasly,101
Brazil,Daniel Ricciardo,251
Brazil,Alex Albon,251
Brazil,Kevin Magnussen,251
Brazil,Lance Stroll,251
Brazil,Logan Sargeant,251
Brazil,Nico Hulkenberg,251
Brazil,Valtteri Bottas,251
Brazil,Yuki Tsunoda,251
Brazil,Zhou Guanyu,251
Las Vegas,Max Verstappen,1.15
Las Vegas,Lando Norris,1.5
Las Vegas,Carlos Sainz,2.6
Las Vegas,Charles Leclerc,2.6
Las Vegas,Lewis Hamilton,2.6
Las Vegas,Sergio Perez,2.6
Las Vegas,George Russell,7
Las Vegas,Oscar Piastri,7
Las Vegas,Fernando Alonso,12
Las Vegas,Alex Albon,67
Las Vegas,Esteban Ocon,151
Las Vegas,Lance Stroll,151
Las Vegas,Pierre Gasly,151
Las Vegas,Kevin Magnussen,251
Las Vegas,Logan Sargeant,251
Las Vegas,Nico Hulkenberg,251
Las Vegas,Valtteri Bottas,251
Las Vegas,Yuki Tsunoda,251
Las Vegas,Zhou Guanyu,251
Abu Dhabi,Max Verstappen,1.12
Abu Dhabi,Lando Norris,1.75
Abu Dhabi,Sergio Perez,1.85
Abu Dhabi,Charles Leclerc,2.75
Abu Dhabi,Lewis Hamilton,2.75
Abu Dhabi,Carlos Sainz,4
Abu Dhabi,George Russell,4
Abu Dhabi,Oscar Piastri,4.5
Abu Dhabi,Fernando Alonso,13
Abu Dhabi,Esteban Ocon,101
Abu Dhabi,Lance Stroll,101
Abu Dhabi,Pierre Gasly,101
Abu Dhabi,Alex Albon,151
Abu Dhabi,Daniel Ricciardo,201
Abu Dhabi,Valtteri Bottas,201
Abu Dhabi,Yuki Tsunoda,201
Abu Dhabi,Kevin Magnussen,251
Abu Dhabi,Logan Sargeant,251
Abu Dhabi,Nico Hulkenberg,251
Abu Dhabi,Zhou Guanyu,251
